發文內容,留言
完整情報 https://www.daybuy.tw/costco-36852CUISINART 美膳雅全自動美式咖啡機，Costco優惠中，4/13(四)前情報原價折450元，自動研磨，三種濃度調整，可以預約沖泡，咖啡機當鬧鐘使用了XD,第1則留言:已閱/第2則留言:已閱/第3則留言:已閱 謝謝！/第4則留言:請問有人用過，覺得如何呢/第5則留言:莊雪 家裡有一台，可以自行調整水量跟研磨細緻度（三段），非常方便/第6則留言:蔣宇軒 那可以請教，豆子買哪一款好喝呢？順口不苦的/第7則留言:豆子是用星巴克金色包裝的跟棕色包裝的，/第8則留言:莊雪 我也有一台，我會同時用刻度跟水量去調濃度，清洗也方便/第9則留言:那可以請教，豆子買哪一款好喝呢？順口不苦的/第10則留言:莊雪 好市多的星巴客早安豆或黃金綜合豆都不錯/第11則留言:陳莉儀 好，謝謝/第12則留言:這種要清洗嗎？要的話，千萬不要買/第13則留言:我覺得好用，我家每天2杯/第14則留言:利用這次優惠剛下手，煮了約5次，平日常喝便利商店美式，覺得這臺挺方便的，可調濃淡，連磨帶沖，要煮之前加入要的水量就好，清洗也算簡便，不研磨豆要加咖啡粉也可以喲~/第15則留言:Dan Ping Yang 可以請教，豆子買哪一款好喝呢？順口不苦的/第16則留言:Dan Ping Yang 妳好，請問煮好後的提示聲響音量很小，不注意幾乎是聽不到嗎？感恩回覆/第17則留言:蔡雅菁/第18則留言:感謝分享/第19則留言:這台經濟實惠好用⋯/第20則留言:原本要買，但聽說會躲蟑螂就放棄了/第21則留言:楊金金 真的嗎？/第22則留言:Crystal Yo 以前公司有一台咖啡機然後喝到飽，曾看過小蟑螂，後來有喝過蟑螂味的咖啡，後來我同事最近說咖啡機容易躲小蟑螂，然後想起以前的往事就放棄這次機會/第23則留言:楊金金 謝謝/第24則留言:真的會躲小蟑螂/第25則留言:楊金金 請您說說蟑螂味是甚麼味????/第26則留言:鍾榮光 代書買起來/第27則留言:不爭氣的我也帶一台 已沖一壺完畢/第28則留言:已閱/第29則留言:用了2年 非常好用！/第30則留言:閱/第31則留言:想請問一下～～上面研磨旋轉鈕壞了～～哪裏買的到呢/第32則留言:請問煮好的咖啡可以保溫多久？/第33則留言:這台好用/第34則留言:請問這台水槽能清洗嗎？/第35則留言:Brandon Lin 好心動～/第36則留言:林威廷/第37則留言:感謝您的分享/第38則留言:感謝分享/第39則留言:好像可以~ 想知道清洗的方法/第40則留言:可以去you tube看分享/第41則留言:介紹的很詳細/
這個還不錯用,第1則留言:這個我家人超愛，但這次買的味道似乎變淡了？/第2則留言:很舒服的味道，回購好多次/
優惠完整情報 https://www.daybuy.tw/costco-36911CHEVRON SUPERME SN 5W-40 EURO 全合成機油，今天Costco目擊優惠，每組折價270元，回到過去的價格~,"第1則留言:這是什麼牌子的機油/第2則留言:過去的價格 折後六罐900/第3則留言:這牌好用嗎？/第4則留言:Chevron是美國僅次於ExxonMobil的大廠，這油好用，沒問題的！/第5則留言:好用嗎/第6則留言:10w40沒貨很久了/第7則留言:過去的價格是999/箱, 回不去了/第8則留言:感謝分享/"
最近晚上睡不太好，想說睡前就泡我爸常喝的奶粉來喝（一個睡前奶的概念）隨口跟我爸說：拔～這個奶粉很好喝欸我爸沒回應，只笑了一下，然後繼續看他的電視登愣！結果隔天下班回家就看到家裡餐桌多了兩大罐還記得某次我也是隨口說韓國的海苔好吃欸結果隔天家裡就出現海苔山？現在都不敢隨便說什麼東西好喝好吃了被我爸聽到就會一直買Ps.貝禮詩的巧克力奶酒也蠻好喝的，但我不敢再說了,第1則留言:錢蠻好用的，可以試試這句/第2則留言:爸爸的愛/
-開箱好市多阿根廷紅蝦值得再購入-一包905g$599-網上說腥味特別重以及彈性不夠，左思右想我決定不用乾煎的方式，特地選用蒸煮，去加強留住蝦的鮮甜原味，並且將水分保留在蝦體，蒸煮前先浸泡在米酒去腥增鮮，上蒸台時抹薄鹽，避免蝦體縮小甚至達到提鮮。出肉率遠高泰國蝦，且蝦線去除完美，蝦背也掀開至蝦尾，食用非常便利！收工！,第1則留言:陳道儀/第2則留言:天使紅蝦屬深海蝦，肉質跟一般蝦不同，個人覺得用蒸的不好拿捏熟度，過熟的話肉質會爛爛的不好吃，我是完全退冰後，再剝殼後用煎的，不要煎太熟，肉質是好吃的。/
懸掛式馬桶清潔球很好用每次沖水就可以維持馬桶廁所香香個人覺得比投水箱那種好用很多平時都是家x福買2個$119，平均1個$59.5這週看到好市多優惠折$100我是直接在線上購買一組12個$439，平均一個$36.6價差蠻大，買2盒起來，應該可以用1年（我家是1個馬桶3人沖水，1個約2週）#妙力懸掛式馬桶清潔球,"第1則留言:持久是個問題，一天沖5-6次很快就沒了.../第2則留言:我都只用兩顆，香味也比較不會那麼濃/第3則留言:謝惠玲 請問怎麼只用兩顆？可以拆開？/第4則留言:陳慧生 我是指她回收使用第二次的時候/第5則留言:Sophia Chou 哦抱歉，我是覺得第二次可以用網袋或是肥皂袋裝就好/第6則留言:陳慧生 妳的方式感覺比較安全/第7則留言:Sophia Chou /第8則留言:Sophia Chou 目前沒遇過這種情況/第9則留言:不是每個馬桶都長得一樣，有的無法掛住，水沖不太到/第10則留言:Chang Kevin 我們家的就是這樣￼/第11則留言:我只用1顆，受不了太香/第12則留言:只是很難掛在適合的位置，喬很久/第13則留言:掛著噴到屎怎麼辦？QQ/第14則留言:林柏翰 突破盲腸了，我不忍想像那畫面⋯抖 XDD/第15則留言:林柏翰 弄到可以用刷子刷一下呀/第16則留言:我買過其他，不確定是同品牌，但無論如何就是無法掛在馬桶邊上。難以理解/第17則留言:Evelyn Xu 我三歲兒子都會的掛的說！/第18則留言:Evelyn Xu 掛起來是這樣/第19則留言:我也覺得好用/第20則留言:個人覺得不好用/第21則留言:我也覺得不好用.而且沒用完的容易潮濕/第22則留言:不好用，真的有稍微延長需要洗刷馬桶的間隔(=還是要拿起刷子刷，只是間隔從1個月延長到1.5個月)，而且用到最後都會有一兩個永遠沖不到水，永遠在塑膠盒子裡無法被消滅= =/第23則留言:我覺得好用耶！但比較愛松木香味的，Costco賣的味道太香甜～推松木香給各位～～/第24則留言:Sandra Fu 松木香超讚+1/第25則留言:買過用過不再使用/第26則留言:我覺得味道不行..../第27則留言:我的使用完後 馬桶容易留下橘色痕跡…怎麼刷都刷不乾淨/第28則留言:芮囍兒 +1/第29則留言:芮囍兒 沒錯，而且買回來開封後的幾天很香，後續使用都無味，馬桶還有顏色…不好用。/第30則留言:楊阿誼 有同感難用/第31則留言:芮囍兒 可以啦 用點力刷的掉 只是買蝦皮德國的都不會殘留 台灣的有夠爛/第32則留言:家中馬桶怎麼掛都會有幾顆沖不到/第33則留言:岳忠傑 沖不到水+1/第34則留言:以前投入水缸的那種很好，但很久沒看到了！/第35則留言:Jim YC Mao 你是說白色漂白水的嗎？那個超好用 但都沒賣了/第36則留言:那個馬桶容易壞/第37則留言:家有一堆男孩的體驗，香味一開始可以，後續不給力，應該不會再回購/第38則留言:鄭小遙 要教他們坐著上/第39則留言:拿打火機 自己調整高度  縮在內側/第40則留言:不好用/第41則留言:我都想說會不會沾到大便或是小便，而且刷馬桶也很卡吧/第42則留言:好用味道又香/第43則留言:曾萌萌/第44則留言:林靜 哇/第45則留言:網路買的跟好市多買的，兩個是一樣的嗎？/第46則留言:買了之後覺得是個很雞肋的商品⋯說香也不香，若說有什麼清潔功能也是沒感覺，就是繳了智商稅！可以體驗看看/第47則留言:Lulu Lee 比投在水箱式 好多了  一堆投水箱式 水箱止水皮 損壞率高/第48則留言:我也覺得好用+1/第49則留言:雞肋+1，而且馬桶重點是清潔不是要香/第50則留言:陳俊光 沒錯，香精吸多對身體不好/第51則留言:不好用/第52則留言:還不錯用，香味或清潔度，但也別以為掛了這就不用刷馬桶，只是不用常刷而已，不過後來我都在蝦皮買。/第53則留言:好用+1/第54則留言:少用這種東西都是香精，家裡廁所不會臭到要用這麼香的東西，又不是公廁/第55則留言:Amanda Yu 幫我買/第56則留言:不好用+1 味道太重不舒服/第57則留言:偷偷告訴你，外面1組3個85元/第58則留言:我下午去大買家買一組$89，剛剛有去蝦皮看到一組69元的（一組3個）/第59則留言:Kelly Lin 69的應該是不同品牌的，不同品牌的一個22元。/第60則留言:Keilen Lai 對欸，我剛剛又去確認了一下，果然不是妙力的，妙力蝦皮價錢在80-90間，那我買89元很ok/第61則留言:水不夠大的馬桶/第62則留言:根本不好用的雞肋. 沖水能到的範圍不均勻, 這東西周邊反而是藏汙納垢的地方/第63則留言:Yupin Chao/第64則留言:顏色會隨著沖水而附著在水垢上，變成有顏色的水垢，需要另外刷，雖然香味是蠻不錯的/第65則留言:陳蓋蓋/第66則留言:這很難用 沒啥用/第67則留言:馬桶都不建議掛或者投在水箱 到後來只是換一種方式卡垢而已/第68則留言:大概三天刷一次馬桶。。。 乖乖用手跟菜瓜布。。。。/第69則留言:曾有買來用過，幫助不大，還是得要刷馬桶/第70則留言:每天刷馬桶還是會臭臭的，考慮來買這個好了/"
多圖完整情報 https://www.daybuy.tw/costco-41882Costco新目擊，IGLOO MAXCOLD冰桶，這個是第一次看到的配色，容量有66公升，冰塊滿載狀態可以保冷五天，可以容納約114瓶鋁罐飲料。,第1則留言:感謝分享/第2則留言:強/第3則留言:陳淑芬/第4則留言:鄒君 想要/第5則留言:劉文智 到底要買幾個/第6則留言:鄒君 買起來/第7則留言:劉文智 舊的送我/
飛利浦刷頭終於特價，等超久的7入1249 平均一支178偷看一下官網同款3隻要990好市多現場應該是目前最便宜的價格了,"第1則留言:謝謝分享/第2則留言:涂晉通/第3則留言:昨天去拿2組遇到好事多人員說：我在這工作5年來第一次遇到飛利浦刷頭特價/第4則留言:Edwina Chen 之前價格太硬了，後來已轉小米/第5則留言:Edwina Chen 唬爛吧 一年都至少一次特價/第6則留言:Ming Ko 我也不知道只是因為她的話我多拿一組/第7則留言:注意很久了，真的很少特價，趕緊買一組，但觀察許久，只有亮白款/第8則留言:Ming Ko 真的啦/第9則留言:范惠琪 我的意思是說…這並不是沒有特價過…前幾年也都有。一年至少有一次/第10則留言:Ming Ko 沒錯/第11則留言:迷你刷頭很好用可以試試看，/第12則留言:林薇如 長什麼樣子呢？有照片嗎？/第13則留言:Xiao Dan 長這樣呦！/第14則留言:林薇如 感恩剛好在找小刷頭/第15則留言:Xiao Dan 要比價一下喔！價格很浮動，剛看感覺漲價不少～/第16則留言:林薇如 小刷頭真的比較好刷，什麼皮買的便宜很多/第17則留言:蔡牧瑾 這有份正訪 真的有差/第18則留言:林薇如 我也都在蝦皮買，一支才15元，每星期都用活動滿99元免運費，爽換刷頭都不心疼也不用等特價/第19則留言:Thomas Chen 可是製作原料還有來源…，放嘴裡的我還是想原廠安心些！/第20則留言:林薇如 皮上面很怕買到假品，迷你的官網推薦如何買呢?感覺都沒特價/第21則留言:Yu Shawn 我都在皮上面買，就評價選四～五星以上，負評少購買數量多這樣，價格也不能跟人差太多這樣，你試試找找看！/第22則留言:請問有人知道這組牙刷適用這個特價刷頭嗎？謝謝。/第23則留言:Yu Tzu 適用（我有買）/第24則留言:Cindy Lin 好喔，謝謝妳/第25則留言:Yu Tzu 是的！刷頭有特價，趕快去搶購/第26則留言:Wei Chang/第27則留言:有人知道內湖有賣嗎？/第28則留言:Mei-Yu Shen 有！剛去買回來/第29則留言:飛利浦的刷頭有3種 /第30則留言:前二天也購入了，剛好用完/第31則留言:請問台中的好市多有人看到嗎？/第32則留言:Eva Kuo /第33則留言:Eva Kuo 昨天北屯店有很多/第34則留言:不推 飛立普的電動牙刷不耐用，買兩隻都分別在兩年左右故障，刷頭還有剩不少，也不知道怎麼處置。/第35則留言:Hommy Hsu 請問你是買大人的還是小孩的可以賣我/第36則留言:陳麗蘭 大人的/第37則留言:Hommy Hsu 我一隻用了已10多年，到我覺得厭煩了，才把它丟了餒！/第38則留言:Hommy Hsu 我用了4、5年了仍在服役中/第39則留言:是我這批的有問題嗎/第40則留言:Hommy Hsu 家裡兩隻用了兩年多也是開始有問題  先生的上一隻用了很久才壞掉，品質不一樣/第41則留言:Hommy Hsu 盡量不要碰水 我也壞了好幾隻 都是兩年左右 後來發現是按鍵處會進水 造成機板或電池壞掉/第42則留言:Hommy Hsu 我的也用了10年了，目前還在使用，沒問題/第43則留言:某年度的產品有瑕疵，稍有小碰撞就整隻壞，保固內可以免費換，我買的一組兩隻都更換過。更換後的新品在胸口高度摔落都沒壞/第44則留言:Hommy Hsu 飛利浦全球保固兩年喔！我在美國amazon 買了兒童的，兩年內損壞送維修直接換新一支，真心覺得服務超級好！/第45則留言:Hommy Hsu 用完要躺著放就很耐/第46則留言:Hommy Hsu 會嗎？我們家買了都用好幾年，大多是摔壞的/第47則留言:Ivy Chen 我們兩隻都是大人用，印象中是沒有摔過，刷完牙洗淨後，就放回充電座，放置地點也只是廁所而非浴室，潮濕問題應該也還好。/第48則留言:Hommy Hsu 我是快沒電才放回充電座（會有提示），平常使用完清洗擦乾正常放。我第一支電動牙刷牙醫診所推薦的，不過我是在經銷商買的，不小心摔了幾次後掛了，保固期剛好快到了，拿去經銷商那直接換新的給我，後面的全在Costco 買的，平均四年換新的，大多是不小心摔到/第49則留言:已經滿多年沒有特價了，以前會跟著同牌電動牙刷折價時一起特價/第50則留言:這是任何飛利浦型號都可以用嗎？/第51則留言:王伍實 大人的都通用 只有一款最便宜的那款例外/第52則留言:Rachel Jen 謝謝回覆。感恩/第53則留言:Rachel Jen 可是我去官網看，他怎麼說適用型號都是鑽石系列的？/第54則留言:張家慈 我的是HX8910,超久的老型號了 也可以用唷/第55則留言:張家慈 應該是說 這個是智能感應刷頭，比較舊型的的機型（例如我的HX8910）沒有智能感應的功能，但插上去一樣能刷/第56則留言:Rachel Jen 所以其實只差有沒有感應晶片，但它的卡榫都是一樣的/第57則留言:請問：新竹有嗎？/第58則留言:Chiu 小英 Chiu 有喔，上週才去買/第59則留言:Chiu 小英 Chiu 打去確認給他們編號他們會馬上幫你查/第60則留言:只有刷頭特價？/第61則留言:請問中和有嗎？謝謝￼/第62則留言:有限黑卡嗎？/第63則留言:Qiao Ting 沒限黑卡唷/第64則留言:沈維媛/第65則留言:我們拿兩盒了 應該可以撐到下次特價/第66則留言:楊士弘/第67則留言:包耿榮/第68則留言:林筱茹/第69則留言:特價購入真的很划算/第70則留言:請問好市多 南崁店有嗎？/第71則留言:Jin-De Liao/第72則留言:買了一堆刷頭，但是電動牙刷本身壞了，兩隻都過保不久就掛了⋯/第73則留言:Peter Wu 可以維修/第74則留言:Peter Wu 可以在百貨公司專櫃 貼錢舊換新。/第75則留言:洪仁芳/第76則留言:好便宜/第77則留言:什麼時候～歐樂B的電動刷頭才再有優惠？上次快閃錯過了/第78則留言:林叡帛 快去/第79則留言:陳柔均 我都買完了才看到妳傳的 哈哈哈 我也剛好看到有特價/第80則留言:莊中林/第81則留言:連續故障了兩支⋯⋯⋯機率有點高阿！請問有人有送修的經驗嗎？該送去哪裡修？/第82則留言:Lily Chang 百貨公司專櫃。可以貼錢舊換新。/第83則留言:劉珈妘 一定得貼錢嗎/第84則留言:我原本一隻8500紀念款的！摔壞了、貼3500元換一隻一模樣的回來。而且我原本的還是加拿大帶回來的。/第85則留言:劉珈妘 但我沒有摔就壞了/第86則留言:Lily Chang 一樣可以/第87則留言:Lily Chang 就跟服務人員說壞了！不能用、要維修總公司會主動聯繫/第88則留言:Lily Chang 直接拿回好市多退貨好了/第89則留言:Lily Chang 我們家用完會馬上擦乾，沒摔到的話都用很多年，難道現在品質有變？/第90則留言:Lily Chang 有送修過 保固內的話帶購買證明(發票弄丟可以跟好市多申請證明)和壞掉的牙刷 到飛利浦維修站/第91則留言:請問有兒童刷頭嗎？/第92則留言:肖美婷 沒有/第93則留言:請問有兒童刷頭嗎？/第94則留言:Bi te Rui 就只有這種/第95則留言:Bi te Rui 我有買這組裝上兒童專用那隻，可以用/第96則留言:Calvin Lo/第97則留言:房欣汶 特價了欸/第98則留言:我用飛牌的牙刷三年還沒有壞，想換飛牌其他新款的牙刷都沒機會。/第99則留言:惠安儀/第100則留言:黃玉琳/第101則留言:周陳逸/第102則留言:Ebba Zhang 囤貨了/第103則留言:Amy Chao/第104則留言:立馬下手，感謝/第105則留言:陳怡臻/第106則留言:許又元 補貨了/第107則留言:王祥聿/第108則留言:不知道還會不會賣之前那種刷頭，感覺比較好用呀/第109則留言:唐惠美/第110則留言:剛剛去內湖店買到了還有很多！/第111則留言:－隻用很久/第112則留言:Scott Su/第113則留言:Mycki Tang買了嗎/第114則留言:楊雯雯/第115則留言:好市多線上折扣後1289也不錯，看了看這期只有這組值得買，懶得去現場買了/"
家中大人小孩都是用歐樂B的電動牙刷，兒子的兒童電動牙刷，覺得蠻好用的也很好上手讓小孩自己刷也能刷得很乾淨舊的也用很久了，趁這次有特價買新的給他這次買蜘蛛人款，附贈的貼紙兒子超愛的，拿到立馬選一張最愛的貼上,"第1則留言:吸引小孩刷牙，都很開心/第2則留言:蜘蛛人的確相當吸睛！/第3則留言:蜘蛛人圖案小朋友會很喜歡/第4則留言:小朋友很愛Elsa造型/第5則留言:特價剛好姊弟都有一支了，線上購買/第6則留言:小孩愛蜘蛛人，應該會很喜歡刷牙/第7則留言:我們家也都用Oral-B的。/第8則留言:裡面貼紙小孩都超愛/第9則留言:之前就入手送朋友小孩當兒童節禮物，超實用CP值又高/第10則留言:我們是Elsa跟汽車總動員的圖案，小孩很喜歡/第11則留言:小孩喜歡的圖案真的讓他們刷牙有動力/第12則留言:兒童節剛過就特價....不然就買一隻給姪女了~/第13則留言:小朋友一定超愛/第14則留言:配合喜歡的圖案會更喜歡刷牙/第15則留言:好想許願佩佩豬款/第16則留言:兒童款的小孩使用上不會覺得太重，造型也都蠻可愛的/第17則留言:電動刷比較乾淨/第18則留言:一隻電動牙刷可以用好幾年，刷頭看小孩愛什麽卡通,就買什麼刷頭來替換，很方便/第19則留言:好適合當生日禮物/第20則留言:兒童節可以買來自用或送人/第21則留言:上次特價也買一隻蜘蛛人的給我姪子 他也超開心的~~/第22則留言:家中大人小孩都是用歐樂B的電動牙刷，兒子的兒童電動牙刷，覺得蠻好用的也很好上手/"
剛剛看到綠葡萄特價根據以往的經驗是好吃又甜的所以毫不猶豫買了一盒回家結果酸到哭好想拿去退,第1則留言:真假，本來要下手的/第2則留言:這個我栽過一次，就不敢再冒險了/
